time,vx, vy, vtheta
6.29,-0.6192,0,0
6.3,-0.624,0,0
6.31,-0.6288,0,0
6.32,-0.6336,0,0
6.33,-0.6384,0,0
6.34,-0.6432,0,0
6.35,-0.648,0,0
6.36,-0.6528,0,0
6.37,-0.6576,0,0
6.38,-0.6624,0,0
6.39,-0.6672,0,0
6.4,-0.672,0,0
6.41,-0.6768,0,0
6.42,-0.6816,0,0
6.43,-0.6864,0,0
6.44,-0.6912,0,0
6.45,-0.696,0,0
6.46,-0.7008,0,0
6.47,-0.7056,0,0
6.48,-0.7104,0,0
6.49,-0.7152,0,0
6.5,-0.72,0,0
6.51,-0.7248,0,0
6.52,-0.7296,0,0
6.53,-0.7344,0,0
6.54,-0.7392,0,0
6.55,-0.744,0,0
6.56,-0.7488,0,0
6.57,-0.7536,0,0
6.58,-0.7584,0,0
6.59,-0.7632,0,0
6.6,-0.768,0,0
6.61,-0.7728,0,0
6.62,-0.7776,0,0
6.63,-0.7824,0,0
6.64,-0.7872,0,0
6.65,-0.792,0,0
6.66,-0.7968,0,0
6.67,-0.8016,0,0
6.68,-0.8064,0,0
6.69,-0.8112,0,0
6.7,-0.816,0,0
6.71,-0.8208,0,0
6.72,-0.8256,0,0
6.73,-0.8304,0,0
6.74,-0.8352,0,0
6.75,-0.84,0,0
6.76,-0.8448,0,0
6.77,-0.8496,0,0
6.78,-0.8544,0,0
6.79,-0.8592,0,0
6.8,-0.864,0,0
6.81,-0.8688,0,0
6.82,-0.8736,0,0
6.83,-0.8784,0,0
6.84,-0.8832,0,0
6.85,-0.888,0,0
6.86,-0.8928,0,0
6.87,-0.8976,0,0
6.88,-0.9024,0,0
6.89,-0.9072,0,0
6.9,-0.912,0,0
6.91,-0.9168,0,0
6.92,-0.9216,0,0
6.93,-0.9264,0,0
6.94,-0.9312,0,0
6.95,-0.936,0,0
6.96,-0.9408,0,0
6.97,-0.9456,0,0
6.98,-0.9504,0,0
6.99,-0.9552,0,0
7,-0.96,0,0
7.01,-0.9648,0,0
7.02,-0.9696,0,0
7.03,-0.9744,0,0
7.04,-0.9792,0,0
7.05,-0.984,0,0
7.06,-0.9888,0,0
7.07,-0.9936,0,0
7.08,-0.9984,0,0
7.09,-1.0032,0,0
7.1,-1.008,0,0
7.11,-1.0128,0,0
7.12,-1.0176,0,0
7.13,-1.0224,0,0
7.14,-1.0272,0,0
7.15,-1.032,0,0
7.16,-1.0368,0,0
7.17,-1.0416,0,0
7.18,-1.0464,0,0
7.19,-1.0512,0,0
7.2,-1.056,0,0
7.21,-1.0608,0,0
7.22,-1.0656,0,0
7.23,-1.0704,0,0
7.24,-1.0752,0,0
7.25,-1.08,0,0
7.26,-1.0848,0,0
7.27,-1.0896,0,0
7.28,-1.0944,0,0
7.29,-1.0992,0,0
7.3,-1.104,0,0
7.31,-1.1088,0,0
7.32,-1.1136,0,0
7.33,-1.1184,0,0
7.34,-1.1232,0,0
7.35,-1.128,0,0
7.36,-1.1328,0,0
7.37,-1.1376,0,0
7.38,-1.1424,0,0
7.39,-1.1472,0,0
7.4,-1.152,0,0
7.41,-1.1568,0,0
7.42,-1.1616,0,0
7.43,-1.1664,0,0
7.44,-1.1712,0,0
7.45,-1.176,0,0
7.46,-1.1808,0,0
7.47,-1.1856,0,0
7.48,-1.1904,0,0
7.49,-1.1952,0,0
7.5,-1.2,0,0
7.51,-1.1952,0,0
7.52,-1.1904,0,0
7.53,-1.1856,0,0
7.54,-1.1808,0,0
7.55,-1.176,0,0
7.56,-1.1712,0,0
7.57,-1.1664,0,0
7.58,-1.1616,0,0
7.59,-1.1568,0,0
7.6,-1.152,0,0
7.61,-1.1472,0,0
7.62,-1.1424,0,0
